Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
5A	VREFB5AN0	IO		nCEO	DIFFIO_TX_R3p	DIFFOUT_R3p	AJ29	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R4p	DIFFOUT_R4p	W20	DQ1R										
5A	VREFB5AN0	IO		CvP_CONFDONE	DIFFIO_TX_R3n	DIFFOUT_R3n	AH29	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R4n	DIFFOUT_R4n	Y21	DQ1R										
5A	VREFB5AN0	IO		DEV_OE	DIFFIO_TX_R5p	DIFFOUT_R5p	AE26											
5A	VREFB5AN0	IO		nPERSTL0	DIFFIO_RX_R6p	DIFFOUT_R6p	W21	DQS1R										
5A	VREFB5AN0	IO		DEV_CLRn	DIFFIO_TX_R5n	DIFFOUT_R5n	AD27	DQ1R										
5A	VREFB5AN0	IO		nPERSTL1	DIFFIO_RX_R6n	DIFFOUT_R6n	W22	DQSn1R										
5A	VREFB5AN0	IO			DIFFIO_TX_R7p	DIFFOUT_R7p	AA25	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R8p	DIFFOUT_R8p	AB22	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_TX_R7n	DIFFOUT_R7n	AB26											
5A	VREFB5AN0	IO			DIFFIO_RX_R8n	DIFFOUT_R8n	AB23	DQ1R										
5A	VREFB5AN0	IO			DIFFIO_RX_R9p	DIFFOUT_R9p	AA24											
5A	VREFB5AN0	IO			DIFFIO_TX_R10p	DIFFOUT_R10p	AE27	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_RX_R9n	DIFFOUT_R9n	AB25											
5A	VREFB5AN0	IO			DIFFIO_TX_R10n	DIFFOUT_R10n	AE28	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_RX_R11p	DIFFOUT_R11p	Y23	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_TX_R12p	DIFFOUT_R12p	AG28	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_RX_R11n	DIFFOUT_R11n	Y24	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_TX_R12n	DIFFOUT_R12n	AF28	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_RX_R13p	DIFFOUT_R13p	V23	DQS2R										
5A	VREFB5AN0	IO			DIFFIO_TX_R14p	DIFFOUT_R14p	AF29											
