Device/Package xc7v2000tflg1925 8/18/2011 15:49:36,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
A24,IO_L18N_T2_17,2,17,2,2,HP,NA
L23,IO_L19P_T3_17,3,17,2,2,HP,NA
K23,IO_L19N_T3_VREF_17,3,17,2,2,HP,NA
H22,IO_L20P_T3_17,3,17,2,2,HP,NA
G22,IO_L20N_T3_17,3,17,2,2,HP,NA
M24,IO_L21P_T3_DQS_17,3,17,2,2,HP,NA
L24,IO_L21N_T3_DQS_17,3,17,2,2,HP,NA
M22,IO_L22P_T3_17,3,17,2,2,HP,NA
L22,IO_L22N_T3_17,3,17,2,2,HP,NA
K22,IO_L23P_T3_17,3,17,2,2,HP,NA
K21,IO_L23N_T3_17,3,17,2,2,HP,NA
J21,IO_L24P_T3_17,3,17,2,2,HP,NA
H21,IO_L24N_T3_17,3,17,2,2,HP,NA
M21,IO_25_VRP_17,NA,17,2,2,HP,NA
T25,IO_0_VRN_18,NA,18,2,2,HP,NA
T28,IO_L1P_T0_18,0,18,2,2,HP,NA
R28,IO_L1N_T0_18,0,18,2,2,HP,NA
R26,IO_L2P_T0_18,0,18,2,2,HP,NA
P26,IO_L2N_T0_18,0,18,2,2,HP,NA
T27,IO_L3P_T0_DQS_18,0,18,2,2,HP,NA
R27,IO_L3N_T0_DQS_18,0,18,2,2,HP,NA
N26,IO_L4P_T0_18,0,18,2,2,HP,NA
N27,IO_L4N_T0_18,0,18,2,2,HP,NA
P28,IO_L5P_T0_18,0,18,2,2,HP,NA
N28,IO_L5N_T0_18,0,18,2,2,HP,NA
R25,IO_L6P_T0_18,0,18,2,2,HP,NA
P25,IO_L6N_T0_VREF_18,0,18,2,2,HP,NA
G29,IO_L7P_T1_18,1,18,2,2,HP,NA
F29,IO_L7N_T1_18,1,18,2,2,HP,NA
H27,IO_L8P_T1_18,1,18,2,2,HP,NA
H28,IO_L8N_T1_18,1,18,2,2,HP,NA
G27,IO_L9P_T1_DQS_18,1,18,2,2,HP,NA
F27,IO_L9N_T1_DQS_18,1,18,2,2,HP,NA
H26,IO_L10P_T1_18,1,18,2,2,HP,NA
G26,IO_L10N_T1_18,1,18,2,2,HP,NA
E26,IO_L11P_T1_SRCC_18,1,18,2,2,HP,NA
E27,IO_L11N_T1_SRCC_18,1,18,2,2,HP,NA
F28,IO_L12P_T1_MRCC_18,1,18,2,2,HP,NA
E28,IO_L12N_T1_MRCC_18,1,18,2,2,HP,NA
D28,IO_L13P_T2_MRCC_18,2,18,2,2,HP,NA
D29,IO_L13N_T2_MRCC_18,2,18,2,2,HP,NA
C27,IO_L14P_T2_SRCC_18,2,18,2,2,HP,NA
C28,IO_L14N_T2_SRCC_18,2,18,2,2,HP,NA
D26,IO_L15P_T2_DQS_18,2,18,2,2,HP,NA
C26,IO_L15N_T2_DQS_18,2,18,2,2,HP,NA
B26,IO_L16P_T2_18,2,18,2,2,HP,NA
B27,IO_L16N_T2_18,2,18,2,2,HP,NA
B25,IO_L17P_T2_18,2,18,2,2,HP,NA
A25,IO_L17N_T2_18,2,18,2,2,HP,NA
A27,IO_L18P_T2_18,2,18,2,2,HP,NA
A28,IO_L18N_T2_18,2,18,2,2,HP,NA
M27,IO_L19P_T3_18,3,18,2,2,HP,NA
L28,IO_L19N_T3_VREF_18,3,18,2,2,HP,NA
L27,IO_L20P_T3_18,3,18,2,2,HP,NA
K27,IO_L20N_T3_18,3,18,2,2,HP,NA
L25,IO_L21P_T3_DQS_18,3,18,2,2,HP,NA
K25,IO_L21N_T3_DQS_18,3,18,2,2,HP,NA
K28,IO_L22P_T3_18,3,18,2,2,HP,NA
J28,IO_L22N_T3_18,3,18,2,2,HP,NA
K26,IO_L23P_T3_18,3,18,2,2,HP,NA
J26,IO_L23N_T3_18,3,18,2,2,HP,NA
M25,IO_L24P_T3_18,3,18,2,2,HP,NA
M26,IO_L24N_T3_18,3,18,2,2,HP,NA
